Designator	Package	Designation	Supplier	Part	number
C1	SM0805	330nF	PCBTrain	0805-330nF-50V-10%-X7R	
C2	SM0805	0.1uF	PCBTrain	0805-100nF-100V-10%-X7R	
D2	SM1206	LED	Customer	KPT-3216SURCK	2099248
D1	SM1206	LED	Customer	KPT-3216SURCK	2099248
R3	SM0805	1k3	PCBTrain	0805-1K3	
R4	SM0805	1k3	PCBTrain	0805-1K3	
U4	78L05	78L05	Customer	UA78L05CPK	2112604
P2	pin_array_8x2	Address	Not_Fitted	Not_Fitted	
P3	pin_array_8x2	Data_Ctrl	Not_Fitted	Not_Fitted	
U5	YC248	10k	Customer	YC248-JR-0710KL	1377059
U7	YC248	10k	Customer	YC248-JR-0710KL	1377059
U1	YC248	10k	Customer	YC248-JR-0710KL	1377059
U6	YC248	10k	Customer	YC248-JR-0710KL	1377059
J5	RJ45_AMP_5555764	A1	Customer	5555764-1	2127467
J1	RJ45_AMP_5555764	C0	Customer	5555764-1	2127467
J4	RJ45_AMP_5555764	A2	Customer	5555764-1	2127467
J3	RJ45_AMP_5555764	A3	Customer	5555764-1	2127467
J7	RJ45_AMP_5555764	D1	Customer	5555764-1	2127467
J2	RJ45_AMP_5555764	D0	Customer	5555764-1	2127467
J6	RJ45_AMP_5555764	A0	Customer	5555764-1	2127467
U2	TSSOP-24	PCA9555	Customer	PCA9555PW	8906084
U3	TSSOP-24	PCA9555	Customer	PCA9555PW	8906084
P1	TSM-104-XX-SV	I2C	Customer	BG055-04A-1-0450-0530-0350-L-G	1798983
P4	TSM-104-XX-SV	I2C	Customer	BG055-04A-1-0450-0530-0350-L-G	1798983
U8	TSSOP-8	PCA9306	Customer	PCA9306DP	
U9	YC124-JR	10k	Customer	YC124-JR-0710KL	9235418
R1	SM0805	200k	PCBTrain	0805-200K	
